,appliance,footprint
54,Electric space heater,"[ 22.  -7.  -2.  11. -12. -10.  -6.  19. -18.  26.  -4.   1. -25.  23.
 -29.  12.  -6.  19. -13.  13. -25.   4.  23.]"
55,Electric space heater,"[ -24.    4.  -11.   23.  -21.   20.   -6.   16.  -23.   12.  -17.    7.
   -2.   -1.    6.    4.    3.    5.   12.  106. -105.  -31.   22.    7.
    0.  -13.   13.    6.  -18.   13.   -9.   17.  -39.   14.    4.   -7.
   17.  -25.   10.    9.  -20.    7.   11.   -5.    0.    0.   15.  -30.
    5.   27.  -14.  -18.   27.   -9.  -17.   24.   -2.  -20.   23.  -15.
    3.   -8.   22.   -2.   -8.   -4.   -4.    0.    3.   -9.   14.  -12.
   24.    6.  -16.   10.  -21.    7.   21.  -18.   -5.   36.  -43.   29.
    8.   -9.  -12.   20.  -23.   19.  -23.   -4.   23.   -3.   -3.   -6.
    0.    5.   -6.   -7.    7.   -7.   18.]"
56,Electric space heater,[ 37. -13.   5.   9.   1.  -7. -20.  26.]
57,Electric space heater,[-14.  15.  -2.  26.  -3. -26. -12.  12.  19.]
58,Electric space heater,"[  13.    6.  -17.    3.    8.    7.  -16.   22.  -14.  -12.    8.    3.
    7.  -14.   38.  -10.    2.   10.  -30.    6.   -8.    9.  163. -154.
  -17.   18.   -6.  -19.    1.  -10.   36.  -27.   26.  -10.    5.    9.
  -13.   -8.    8.   11.  -23.   -8.   38.   -8.   -2.   11.  -31.   -1.
   16.    9.  -22.   20.  -10.  -13.    0.   -9.   14.  -13.   31.  -29.
   21.    5.  -23.   29.    0.    0.   -7.    6.   -5.  -24.   13.   -2.
   -2.   -1.   15.    4.]"
59,Electric space heater,[  1.  10.   3.   2.  -8.   5.  -6.   4.  -2.  -2.  -3. -15.  40.  -3.]
60,Electric space heater,[]
61,Electric space heater,"[ -3. -25.   0.  27.  -7.   6.  -2. -20.  21.   2. -16.  10.  -4.   3.
 -28.  17.   1.  -9.  -4.  27. -28.  27. -25.  23. -27.  19.   0. -21.
   5.  14.  11. -25.   2.   4. -10.  22. -20.  -5.  11. -14.  33.  -5.
 -21.  17.   8. -12.  25.  -9.  10.   0. -16.   9.   3.]"
62,Electric space heater,"[ 22. -17.  20. -29.  33. -10.   6.   1. -14. -23.   7.  20.   3. -36.
  25.   8.]"
63,Electric space heater,[]
64,Electric space heater,"[ -4.  32.  -9.  -5.  11. -29.   0.   9.  12.  11. -32.  39. -21.  21.
 -34.  39. -22.  11. -23.  11.  -9.  -2.  20. -16.  18.   8. -24.  19.
 -11. -11.  -6.  29.   0.  11.  -8. -12.]"
65,Electric space heater,"[ -6.  -1.  24. -30.  23. -37.  33. -25.  14. -15.  34.  -9.   4.  -4.
 -23.  10. -15.  22.  16. -16.  29. -31.  20. -13.   1.   2.  27. -23.
 -10.  -4.   5.  27. -15.   5. -26.  29. -12.  -8.   6.   5.  10. -32.
  16.   4. -26.  12.   5.  -7.  15.  -4.  19. -16.  18.   0.   8. -12.
   1. -15.  12.   0.  11. -27.  17.   2.   0. -13.  -6.  12. -16.  16.
  -9.  20.  -4.   0. -15.   9. -17.  26.   7. -34.   6.  25. -21.   6.
  19. -23.  -5.  11.  10.   3. -16.  15. -26.  24.  -5.   3. -18.  12.
  17.  -1.  -9.   0. -12.  20. -20. -16.  28. -18.  17.   5. -23. -11.
  19.  11. -12.  11.]"
66,Electric space heater,"[ 2. -5.  4. -2.  1. -1. -3.  6.  0. -2.  3. -4.  0.  1.  2.  3. -5.  0.
  1. -1.  2. -3. -1.  1. -1.  2. -5.  0.  5. -1.  1.  0. -3. -2.  5. -4.
 -2. -1.  1.  2.  0.  1. -2.  0.  2. -1.  0.  0. -5.  4. -1. -1. -1.  6.
 -4.  4.  0. -1.  0.  1.  0. -1. -1.  2. -1. -1.  0. -1. -1.  2.  0. -3.
  4. -3.  1.  1. -3.  2.  0.  0.  1. -1.  1. -4.  4.  0.  0.  2. -2.  4.
  0.  0.  1.  3. -3.  1.  2. -2. -1. -2.  1.  2. -1. -1. -2.  3. -2.  3.
 -1. -1.  0. -1.  4. -1. -1. -2.  0. -1.  5. -2.  0. -1. -1.  2.  0. -2.
  1.  3.  2. -3.  3. -2.  0.  1.  2. -5.  0.  0. -2.  3.  1. -1.  1.  3.
 -6.  6. -5.  0.  1.  4. -2. -2.  2.  0.  0.  0.  2.  2. -2. -3.  3.  2.
  0. -5.  2.  2.]"
67,Electric space heater,"[-1.  3.  1. -1. -3.  5. -3.  1.  0.  0.  0.  2. -5.  3.  0.  0.  0. -1.
  2. -1.  2.  0. -1.  0. -2. -1. -1.  3.  0.  0.  1. -3.  4. -6.  2. -1.
 -1.  3. -3.  6.]"
68,Electric space heater,"[-1.  3.  3. -2.  0. -1.  1.  1.  2. -3. -1. -2. -2.  1.  4.  0.  0. -3.
 -2.  2.  1.  0. -1.  4. -5.  4. -6.  3.  3. -2.  0. -1.  0.  1. -3.  3.
 -2. -1.  1.  3. -3.  0.  0.  3. -5.  2. -2.  1.  0. -3.  2.  1. -2.  1.
 -1.  3. -1.  3. -2.  0. -1. -3.  3. -1. -1.  2. -2.  3. -3.  5. -2.  1.
 -4.  2. -1.  3. -4.  4.  0.  1. -3.  4. -1. -4. -1.  3.  0. -2. -2.  4.
 -1.  4. -2. -1. -1.  2. -2.  0.  0.  0. -1.  0. -2.  0.  2.  1. -2. -3.
  4.  1.  0. -2.  2.  2.  1. -1. -1.  0. -1.  1.  3. -3.  1.  1. -1. -1.
 -1.  0.  0. -1.  0.  1. -3.  4. -2. -1.  0. -4.  1.  3. -4.  6. -3.  2.
  1.  1. -3.  0.  0. -2.  4. -1. -1.  2. -3.  3. -4.  1.  2.  1. -1. -2.
 -2.  0.  3.  1. -3.  2. -1.  1.  1. -4.  4. -4.  6. -2.  1. -1. -1.  3.
  0. -4.  1.  0.  4. -2.  1.  0. -2.  1.  0.  0.  0.  2. -1.  4. -3. -3.
  2. -2.  0. -2.  3. -1.  1. -4.  3.  0.  2. -2. -5.  2.  1. -1.  3.  0.
  1. -5.  5. -2. -4.  2.  1.  0.  1. -4.  1.  0. -2.  5. -2.  0.  3. -3.
  2. -2. -4.  1. -2.  6. -3.  0. -1.  4. -1. -2.  2. -4.  8.  6. -2.  0.
  0.  0.  0.  1. -4.  2. -3.  6. -7.  1.  4.  3. -6.  1.  1. -1.  0. -4.
  5.  2. -1.  2. -5.  1.  0. -1.  5.  2. -5. -1.  6. -3.  1. -5.  4.  3.
 -3.  3.]"
69,Electric space heater,"[-1.  1.  0.  2. -2. -1. -1.  1.  0.  1. -4.  0. -1.  4. -2. 14.  1.  0.
 -4.  2.  1.  4. -7.  1.  1. -2.  4.  2.  0. -3.  2. -6.  6. -3.  0.  3.
  0.  0. -3.  1.  1. -1. -2.  2.  2. -2.  1. -3. -1.  1.  0.  0. -1.  2.
 -1.  0.  1. -2.  0.  0.  1.  0.  1. -1.  1.  0. -2.  0. -1.  1.  0.  1.
 -2. -1.  0.  0.  1.  2.  0.  0. -1. -1. -2.  6. -2. -1.  1. -3.  1.  1.
  1. -1. -2.  4. -2. -3.  1.  2.  2. -1. -3.  1. -2.  0.  4. -1. -2. -1.
  0.  3.  0. -3.  2. -2.  0.  3. -2.  2. -2. -1. -2.  2. -1. -1.  3. -2.
  3.  1. -2. -3.  3. -1.  6.  1.  3. -1. -5.  5. -2.  0.  2. -2.  0. -1.
 -1.  1.  2.  0. -2.  4. -1. -1. -1.  0.  0. -1.  2. -2.  0.  0. -2.  2.
  1. -2.  3.  0. -4.  0.  1.  3. -3.  1.  0. -2.  1.  1. -4.  0.  0.  1.
 -3.  0.  1.  2. -1.  0.  2.  0. -1. -3. -1.  3.  3. -2. -1.  3.  2. -4.
 -1.  1.  3.  0.  2.  0.  0. -2.  0.  0.  0.  0. -2.  5. -6.  1.  4.  0.
 -3. -2.  1.  3. -4.  2. -1.  0. -2.  3. -1.  4. -4.  2. -5.  3.  1. -1.
 -2.  1. -3.  4. -1. -2.  3.  1. -5.  3.  1. -1.  0.  5. -1. -4.  1. -1.
 -1.  1.  2.  3. -4.  2.  0. -4.  2.  5. -1. -3.  0. -2.  4. -1.  0.  2.
 -6.  4.  2. -1. -5.  3.  3. -6.  2.  1.  0.]"
70,Electric space heater,"[ 0.  2.  1. -2. -1.  2. -2. -1.  0.  2.  3. -3. -1.  5. -6.  5.  0.  0.
 -2.  2.  0. -4.  2. -2.  2.  0.  2.  2. -1. -3.  1.  0. -4.  1.  0. -2.
  2.  2.  2. -4.  2.  0. -1.  2.  0. -3.  1.  0.  3. -3. -1.  0.  3. -3.
  0. -1.  0.  2.  3. -1. -1.  1.  1.  0.  1. -1. -2.  1.  2. -1. -4.  1.
  4. -1. -2.  2.  2. -3.  0.  1. -4.  4. -3.  3. -1. -1.  2.  2. -3. -1.
  2. -3.  3.  0. -2. -3.  5. -2. -2.  3.  1. -1.  1. -1.  0.  0. -1. -3.
  2.]"
71,Electric space heater,[]
72,Electric space heater,[-22.  14. -14.   8.   7.  -8.  -6.  17.  -1. -18.  -7.  25.]
73,Electric space heater,[ 11.   4. -16.  15.  -4.   9.]
74,Electric space heater,[]
75,Electric space heater,[]
76,Electric space heater,[ 18. -30.  25.   6.]
77,Electric space heater,[-19.  -1.   5.  -2.]
78,Electric space heater,[]
79,Electric space heater,[-7. -7. 16.  8.]
80,Electric space heater,[]
81,Electric space heater,[-29.  41. -10.]
82,Electric space heater,[-1. -6. -6. 23.  0.]
83,Electric space heater,[ -2.  -6. -14.  -7.  17. -14.]
84,Electric space heater,[ 1.  8. -7. 10.  0.]
85,Electric space heater,[ 7. 14. -5.]
86,Electric space heater,[-36.  37. -11.   3.]
87,Electric space heater,[-14.  13. -11.  27.]
88,Electric space heater,[ 5. -7. -4.]
89,Electric space heater,[  7. -18.   4.  21.]
90,Electric space heater,[-6.  5. 11.]
91,Electric space heater,[]
92,Electric space heater,[  6. -19.  34.]
93,Electric space heater,[16. 10. -5. -8.]
94,Electric space heater,[  7. -37.  13.  14.]
95,Electric space heater,[ 24. -31.  42. -21.]
96,Electric space heater,[24.  0.  3. -4.  5.]
97,Electric space heater,[11.  2.  4. -5. -4.]
98,Electric space heater,[-4. -4.  0.]
99,Electric space heater,[ -2.  -4.   6. -13.  17.]
100,Electric space heater,[]
101,Electric space heater,[-24.  21.]
102,Electric space heater,[ 35. -26.   6.  -7. 133.]
103,Electric space heater,[  8. -11.  12.]
104,Electric space heater,[-28.  23.  11.]
105,Electric space heater,[  1. -29.  11.]
106,Electric space heater,[-24.  -8.  18.  -7.]
107,Electric space heater,[-1.  8.  0.]
108,Electric space heater,[-34.  22.   9.]
109,Electric space heater,[ -9. -38.  -2.  40.]
110,Electric space heater,[-141.  -18.  -19.   14.]
111,Electric space heater,[]
112,Electric space heater,[ 16. -32.   4.  23.]
113,Electric space heater,[-32.  -5.  17.]
114,Electric space heater,[0. 1. 7.]
115,Electric space heater,[-7.  8.  1.]
116,Electric space heater,[ 8. 15. -9.]
117,Electric space heater,[ 11. -13.  25.   6.]
118,Electric space heater,[ 29. -10. -21.]
119,Electric space heater,[]
120,Electric space heater,[]
121,Electric space heater,[-5.  2. 22.]
122,Electric space heater,[]
123,Electric space heater,[  7. -11.  20.]
124,Electric space heater,[]
125,Electric space heater,[-17.  -5.   8.  -4.]
126,Electric space heater,[  5. -15.  10.  27.   2.]
127,Electric space heater,[ -6. -31.  10.  15.]
128,Electric space heater,[26. -1.  0.]
129,Electric space heater,[]
130,Electric space heater,[-2. -2.]
131,Electric space heater,[ -4. -33.  23. -10.  27. -22.]
132,Electric space heater,[17.]
133,Laptop computer,"[-1. -1.  1. -1. -1.  2. -2.  1. -1.  1.  0.  3. -2.  2. -3.  2. -1. -1.
  0.  1.  2. -3.  2. -2.  1. -1.  1. -2.  1.  1.  0.  1. -2. -1.  3.  0.
 -2.  0.  1. -1.  0. -1.  1.  0.  0.  1. -1.  0.  1.  0. -1. -1.  1. -1.
  1. -1.  1.  0. -1.  0.  0.  0.  1.  0.  1. -1.  0.  0.  1. -1.  0.  1.
 -1.  0.  0.  0.  0.  0.  1. -1. -1.  0.  0.  0.  1. -1.  4. -1.  0.  0.
  0.  1. -1.  0.  0. -3.  2. -1.  2. -2.  0.  0.  0.  0.  0.  1. -1.  2.
 -3.  1.  3. -3. -1.  1. -1.  0.  2. -1.  0.  0.  0.  3. -2. -1.  0.  0.
 -1.  2.]"
134,Laptop computer,[ 4.  7. -3.  6.]
135,Laptop computer,"[-2.  4. -1. -2. -5.  6. -1.  2. -1.  0.  0.  0. -3.  3.  1. -2. -1.  1.
 -1. -1. -3.  4. -1.  0.  0.  1.  0. -2. -1.  0.  0.  4.  1. -1. -1.  2.
 -3.  1.  3. -1. -2.  1.  1.  0. -1.  1.  1. -2.  1. -3.  0. -1.  4. -1.
  1. -1.  1. -4.  2.  4. -3.  1.  1. -1.  1. -5.  0.  2.  3. -4.  3. -1.
  2.  0. -5.  1. -1. -1.  2. -1. -1.]"
136,Laptop computer,[ 3.  6. -2. -4.  0.  5.  0. -6.]
137,Laptop computer,[]
138,Laptop computer,[-1.  0.]
139,Laptop computer,[]
140,Laptop computer,[]
141,Laptop computer,"[ 19.   5.   3.  -3. -15.  11.  -5. -14.  27.   4. -28.  45. -20. -26.
   9.  -9.  14.  -9. -10.   2.   4.   5.  -5.  -3.  28.  -3. -21.  -1.
  -6.  19. -15.   4.  24.   0.  -4.   4. -20.  20.  -9. -10.  -3.  16.
  10.  -6. -15. -10.   6. -17.  37.  -4.   3. -12. -11.   4.  18. -10.
  -5. -14.  11.  15.  -8.  16. -16.   8.   6. -28.  27. -34.  34. -28.
  22. -17.  18.  -5. -15.  -9.  25.  46. -53.  17. -26.  23. -20.  24.
  -5.  -3.   7. -30.  -1.  25. -23.   4.  22.   1. -25.   2.  -4.   8.
  11.   5.   7. -12. -20.   9.  -2.  17. -18.  -9.  31. -32.  17.  10.
 -24.   1.  30. -19.  -9.  14. -18.  23. -25.  11.   1.  13.  -4. -13.
  -1.  19.  14. -10. -19.  -1.  23. -12.  -5.  15. -22.  29. -24.  13.
   7. -30.  30. -32.  17. -19.  24. -12. -10.  28.  -3. -29.  34.  -9.
   7. -11.   8.  -4.  -3.  -6. -16.  20.   2.   4. -34.  22.   4. -14.
   8.  -4.   7. -12. -11.  14.   9.  -3. -10.  -9.   7.  -2.  -9.  10.
  -4.   2.  26. -19. -11.  21.   0. -13.  -2.   0.  29. -18.  -3.  11.
   2.  -6.   5.  -2. -21.  -5.  31.   3. -28.  -6.  19.   8.   2. -20.
  -1.  24. -30.   1.  24. -25.   3.  -2.  22.   2. -12.   5.  16. -29.
   9.   5. -19.  39. -14.   4. -25.  27. -25.   8.  -2.  -9.  19.   9.
   1. -14.  -3.   8.  -8.  -2.  13. -28.  10.   5. -10.   2.   6.  -9.
  14.   6.   8.  -5.  -4.  13.  -9. -20.  19. -16.  23. -28.  27.   2.
 -18.  23.  -3. -23.   7.   9.   2. -25.   2.  21.  -7. -10.  27. -29.
   2.   8.  -8.   1.  20.  -7. -12.  -2.  25.  -2. -12. -12.  -1.  11.
  14.   4.  -8. -12.  -7.  12.   7.  -7. -10.   3.   1. -12.  13.  12.
 -13. -14.  10.  -5.   3.  -6.  12.  12.  -7.  -2.   7. -18.  -2.  23.
   2.  -3. -28.  31.   0. -26.   2.  -2.  12.   9.  -7.   6. -16.  12.
  10. -12.   2.  13.   5. -16.   8.  -1. -19.  -2.  11.  -6.  -2.  -5.
   9. -11.  32. -12. -10.   1.  -6.   1.  17. -10.   5.   2.  -9.  13.
 -17.  20.  -7. -22.  12.   8.   9.  -5. -16.  -4.  27.  -9. -16.  13.
 -20.  23.   1. -22.  30. -23.  -9.  13.  -6.   6.  12. -16.  -2.  20.
  -5.  -3.   2. -25.  21.  -5. -14.  14.  19. -33.  24.  15. -16. -16.
   9.   4.   6.   5.  -2. -18.  23. -27.   0.  14.  11. -14.   2.  -8.
   7.   7. -22.   1.  27. -32.   5.  18.   1.  -2.   0. -23.   0.   6.
  21.   8. -21.  27. -19.  12.   0.  -9.   8.   4. -12.  13.  -1. -19.
   7.  21. -26.  -6.  11.  25. -15. -16.  11.   4.   6.   0. -17.  11.
 -18.  26.   2. -15.  13. -24. -11.   1.  35. -37.  16.  12.  10.  -6.
  -4. -14.  -4.  -3.  -2.  20.  -8.  13.  -4. -14.  27.   1. -23.   7.
   8. -28.  33.   0. -13. -19.  29.  -1.  -1. -13.  17.   9. -31.   7.
   1.  -5.  20.   0.  12.   6. -34.   4.   8.  18.   4. -22.  18.   1.
 -20.  -1.  21. -25.   6.  31. -30.  28. -26.  25. -31.   2.  10.  10.
  -4.  -4. -10. -11.  12.  -8.  18. -20.  25. -25.   9.  -2.  -1.  15.
  46. -61.   6. -14.   3.  22.  -1.  13. -16. -20.  17.  -4.  -9.  17.
   0.   2.   9.   2.  -4. -25.   2.  22.  -3.   0.   2. -18.  -2.   8.
  16. -13.  12.   1. -29.   7.  13.   4. -19.  20.  13.  -8.   3.  -1.
   2.   5. -30.   5.   1. -10.  21. -30.  23.   0. -16.  19.  -3.  -5.
  16.  -5.   1.  -8.   9.  14. -36.  18.  -9.  -9.   1.  14. -11. -11.
   6.  14.   7.  11.  -5.  -9.  10.   7.  -8. -10.   0.  -3. -16.  28.
   0. -16.   9.   4.   1. -12. -10.   5.  23.  -2. -28.  32.  -8. -24.
  11. -19.  37. -11. -19.  29. -14.  15.  -3. -29.   7. -10.   8.  -9.
  31.  -1. -18.   9. -17.  16.  -7.  -4.  30. -13. -17.  19. -17.  11.
  -9.   4.   0.  18.   4. -28.  29. -18.  14.  -3. -11.  -8.  -1.  26.
 -13.  44. -51.  17. -22.   7.   2.   0. -12.   7.  19.   0. -32.   5.
  18.   0. -24.  24.   7.  -8.   3.   1. -17.   1.   9.  -2.  12. -30.
   8.  18. -23.  19. -16.  -3.   7.  13. -26.  17. -14.  20.   0. -26.
  11.  -2.  17.  -8.   8. -20.   1.   5.  23.  -1. -14. -15.   8. -12.
   4.   8. -27.  13.  19. -22.  27. -16.  -6.  22.  -6. -28.  17. -14.
  -9.  18.   2. -14.   6.  20.   7. -28.   9.  -7.  26. -10.  10. -26.
  21.   3. -13.   7.   7. -11. -11.  17. -19.  23. -12.  -6.  17. -18.
   4.   5. -21.   5.  15.   7.]"
142,Laptop computer,"[ -9.  -1. -11.   4.  15. -26.  20.   4.  12.   0. -14.   3.   9.  -5.
 -19.  -5.  24.  -5.  -5. -13.  17. -11. -11.  18. -19.   1.  23. -14.
  -7.  11.   4.   0.  -5.   3. -23.  -1.   0.  26. -18.  -2. -17.  26.
 -24.   5.  -4.  -8.  10.  -4.   7.   4.   9.  -7.  10. -29.  35. -34.
  17. -19.  46. -20.  -5.  28. -22. -11.   2.   6.   4.  -9.   1.   7.
 -16.   2.  13.  -2.  28. -28.   9. -19.  37.   3. -34.   0.  11.  10.
  -7.  24.  -9. -20.  13. -29.  10.  20.   4. -26.  25.  -5.   0. -13.
   8. -10.  -3. -14.  17.  -2.   6.  -5.  25. -11.   7. -13.  13. -25.
  26.   8. -29.  -1.  13.  -2.  17.  -2. -13.  -4. -16.  25.  -8.   5.
   0. -16.   8.   5.  -2.  -4.  12. -18.   6.  11.   6. -28.  -2.  28.
 -22.  30.  -8. -13.   8. -17.  20. -36.  12.  13. -10.   6.   0.  21.
  -3.  -6.  13.]"
143,Laptop computer,"[ 0.  2. -2.  0.  1. -1.  1.  0. -1.  1.  0.  1. -1.  0.  0.  0. -1.  1.
  1. -1. -1.  1.  0.  1. -1. -1.  1.  0.  0.  0. -1.  2.  0. -2.  6. -5.
  2. -1.]"
144,Laptop computer,"[ 0. -6.  2. -1.  0.  1. -1.  1.  4. -2. -2.  3. -4.  0.  1.  0.  2.  1.
 -3.  0. -2.  5. -5.  1.  0.  2. -2.  0.  5.  4. -9.  0. -1.  2.  5. -7.
  4.  0. -3.  1.  5. -1.  2. -7.  0. -2.  5.  0.  6. -8.  8.  2.]"
145,Laptop computer,[  8.  -9. -19. ...  20.  -6.   1.]
146,Laptop computer,"[ 0.  1. -1.  2.  1. -2.  0.  1. -1.  1. -2.  0. 10. -3. -2.  0. -1.  1.
 -1.  3. -2.  3. -1. -3.  3. -1. -1.  0.  0. -1.  1.  2. -2.  0.  2.  0.
 -1. -1.  0.  0.  3. -3.  0.  2. -2.  1. -1.  1. -1.  1. -1.  1.  2.  1.
 -4.  1.  0.  3. -3.  0.  0.  0.  2. -2. -1.  1. -1.  1.  0.  1.  1. -3.
  0.  0.  0.  1. -1.  0.  1. -1.  0.  1. -2.  2. -2.  1.  0.  0.  4. -4.
  0.  0.  1. -1.  4. 12.]"
147,Laptop computer,[]
148,Laptop computer,[-1.  0.  0.  3.]
149,Projector,[]
150,Projector,[]
151,Projector,[]
152,Projector,[-4. 11.  6. -7. 22.]
153,Projector,[27.  0.  0.  1.  0. -1. 29. 14. -1.  0.  1.]
154,Projector,[32.]
155,Projector,[20.]
156,Projector,[  1.  25. -19.  12. -20.  29.   3.]
157,Projector,[ 16. -24.]
158,Projector,"[ -2.  -1.  10. -10.   0.  23.  24.   0.   0.  -1.   1.   0.  -1.   1.
  -1.   0.   1.   0.   0.   0.  -1.   1.   0.   0.  -1.   1.   0.   0.
   0.   1.  -1.   0.   0.   0.   0.   0.   2. -12.]"
159,Projector,[-19.]
160,Projector,[]
161,Projector,"[-1.  0. -1.  0.  0.  0.  0.  0.  0.  0. -1.  1.  0.  0.  1. -1.  0.  0.
  0.  0.  0. -1.  1.  0. -1.  1. -1.  0.  1.  0.  0. -1.  1.  6. -7.  1.
  0.  0. -1.  0.  1. -1. 12.]"
162,Projector,[22.  5.]
163,Projector,[30. 26.]
164,Projector,[]
165,Projector,[ 10.  -6.  -5.   4.  17.   1.   0.   0. -29.  30.]
166,Projector,[-1.]
167,Projector,[0.]
168,Projector,[-12.  21.]
169,Projector,[17. 25.]
170,Projector,[ 6. 16. 15. 26.]
171,Projector,[-1.  0.]
172,Projector,"[ 0. -1.  1.  0. -1.  0.  0.  0.  0.  0.  1.  0.  0. -2.  0.  1. 12.  0.
  1.  0.  0.  0.  0.  0.  0.  0.]"
173,Projector,[]
174,Projector,[]
175,Projector,[ -2.   5.  -3.  12.  16.   1.  -2.  14. -28.  12.  -9.]
176,Projector,[22.  5.  1. 18.  0.  0.]
177,Projector,"[ 26.  27.  12.  -1.   0. -29.  29.   0. -10.   6.   4.  -2.   1.  19.
   4.  24.   0.  -1.   1.   0.  -1.  -1. -16.  18.  -1. -20.  21.   1.
  -1.   0.   0.  -1.   0. -31.   5.   7.   4.   9.]"
178,Projector,[-1.  1. -2.]
179,Projector,[]
180,Projector,[  3.   1.  -1.  13.  -1.   0.   1. -26.   0.  31.   0.   0.]
181,Projector,[-16.  -1.   1.  44.  -6.   0.   7.   0.]
182,Projector,[-1.  1.  0. -1.  1.  0.  0. -1.  1.  0.  0.  0.  0. -1.  0.  0.  1.]
183,Projector,[ 1. -1. -4.  1.  0.  4.]
184,Projector,[12.]
185,Projector,"[ 27.   9.   0.   0.   0.   1.  -1.   0.   0.   1.  -1.   0.   0.   0.
   0.   0.   0.   0.   0.  12.   0.   0.   1.   0.   0.   0.   0.  -1.
   0.   0.   0.   0.   0.   0.  -1.   1.   0.   1.  -1.   1.  -1.   1.
  -1.   0.   0.   1.  -1.   0.   0.   0.   1.  -1.   0.   1.  -1.   0.
   1.  -1.   0.   1.  -1.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   1.  -1.   0.   1.  -1.   0.   0.   0.   0.   0.   0.   1.
  -1.   1.  -1.   0.   0.   0.   0.   0.   1.   0.   0.   1.  -1.   0.
   0.  -1.   1.   0.   0.   0.   0.   0.   0.   0.  -1.   1.   0.   0.
  -1.   1.   0.   0.   0.   0.  -1.   1.   0.   0.   0.  -1.   1.   0.
   0.   0.   0.   0.   0.   0.   1.  -1.   0.   0.  -1.   0.   1.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   0.  -1.   1.   0.   0.  -1.   1.   0.   0.   0.  -1.
   1.  -1.   1.   0.   0.  -1.   1.   0.   0.   0.  -1.   1.   0.   0.
  -1.   0.   1.   0.  -1.   1.   0.  -1.   0.   0.   1.   0.   0.   0.
   0.   0.   0.   0.  -1.   1.   0.   0.   0.   0.   0.   0.  -1.   1.
   0.  -1.   1.   0.  -1.   1.   0.   0.  -1.   1.   0.   0.   0.   0.
  -1.   0.   0.   0.   1.   0.   0.   0.   0.   0.   0.  -5.   5.   0.
   0.   0.  -1.   1.  -1.   1.  -1. -10.  11.  -1.   1. -13.  12.   1.
  -4.   3.   1.   0.   0.  -6.   5.   0.   0.  -1.   1.   0.   1.  -1.
   1.  -1.   1.   0.   0.   0.   0.  -1.   1.   0.  -1.   1.   0.  -1.
   1.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   1.  -1.   0.
   0.   0.   1.  -1.   0.  -1.   1.   0.   0.   0.  -1.   1.   0.   0.
   0.   0.   0.   0.   0.   0.   1.  -1.   0.   0.   0.   0.   1.  -1.
   0.   0.   0.   0.   0.  -1.   1.   0.   0.   0.   0.   0.   0.   0.
   0.   0.   0.  -1.   1.   0.   0.  -1.   1.   0.   0.   0.   0.   0.
   0.   0.   1.   0.  -1.   1.   0.  -1.   0.   0.   0.   0.   0.   0.
   0.   1.  -1.   0.   0.   1.  -1.   0.   0.   0.   0.   0.   0.   1.
  -1.   1.  -1.   0.   1.   0.   0.  -1.   0.   0.   0.   1.   0.   0.
   0.  -1.   0.   0.   0.   0.   1.   0.   0.  -1.   1.  -1.   0.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   1.   0.  -1.   0.   0.   1.
   0.   0.   0.  -1.   0.   1.  -1.   0.   1.  -1.   1.   0.   0.   0.
  -1.   0.   0.   1.   0.   0.  -1.   1.  -1.   1.   0.  -1.   1.   0.
  -1.   1.  -1.   1.   0.  -1.   0.   0.   0.   0.   0.   1.  -1.   0.
   1.  -1.   0.   1.  -1.   0.   0.   0.   0.   0.   1.   0.   0.  -1.
   0.   0.   1.   0.  -1.   0.   0.   0.   0.   0.   0.   0.   1.]"
186,Projector,[ 2. 13. 14.]
187,Projector,"[ 1. -1.  0.  0. -1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1. -1.  0.
  0. -1.  1.  0.  0.  1. -1.  0.  0.  0. -1.  1.  0. -1.  1. -1.  1.  0.
  0.  0. -1.  1.  0. -1.  0.  0.  1.  0. -1.  1.  0. -1.  0.  0.  0.  0.
  0.  0. -1. 13.]"
188,Projector,[ 37.   3. -23.  20.   6.  -1.  -2.]
189,Projector,[ 0. 13.]
190,Projector,[2.]
191,Projector,[  8.   1.   9. -10.   0.   0.   2.  -3.  -1.]
192,Projector,[1.]
193,Projector,[0. 0.]
194,Projector,[0.]
195,Projector,[0.]
196,Projector,[ 0. -3.  3.  0.  0. -4.]
197,Projector,[]
198,Projector,[]
199,Projector,[27. 27.]
200,Projector,[-30.   6.   1.  -1.   0.   0.   0.  24.  -3. -13.  24.]
201,Projector,[]
202,Projector,[13.]
203,Projector,"[-23.  -2.   1.  16.   4.  21.   7.  -3.  -1.   0.   1.   2.   9.   0.
   1.   0. -11.   1.  -8.   0.  25.]"
204,Projector,[ 7. -2.  0.]
205,Projector,[-11.  24. -14.   1.]
206,Projector,"[ -6.   0.   0.   1.  12. -31.   0.   8.  15. -40.  32. -17.  25. -34.
  31.  -4.   7.   0.   0.   1.  -1.   1.   0.  -1.   0.   1.   0.   0.
   0.   1.  -1.  -1.   1.   0.   0.   0.   0.  -1.   0.   0.   0.   1.
   0.  -5.   0.  -8.   8.   4.]"
207,Projector,[-22.   0.  28.   6.   0.   0.  -4.]
